Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Era,Eras,Era,Eramos,Erades,Eran
Tiña,Tiñas,Tiña,Tiñamos,Tiñades,Tiñan
Estaba,Estabas,Estaba,Estabamos,Estabades,Estaban
Facía,Facías,Facía,Faciamos,Faciades,Facían
Podía,Podías,Podía,Podiamos,Podiades,Podían
Había,Habías,Había,Habiamos,Habiades,Habían
Ía,Ías,Ía,Iamos,Iades,Ían
Dicía,Dicías,Dicía,Diciamos,Diciades,Dicían
Daba,Dabas,Daba,Dabamos,Dabades,Daban
Vía,Vías,Vía,Viamos,Viades,Vían
Sabía,Sabías,Sabía,Sabiamos,Sabiades,Sabían
Quería,Querías,Quería,Queriamos,Queriades,Querían
Chegaba,Chegabas,Chegaba,Chegabamos,Chegabades,Chegaban
Levaba,Levabas,Levaba,Levabamos,Levabades,Levaban
Pasaba,Pasabas,Pasaba,Pasabamos,Pasabades,Pasaban
Debía,Debías,Debía,Debiamos,Debiades,Debían
Deixaba,Deixabas,Deixaba,Deixabamos,Deixabades,Deixaban
Falaba,Falabas,Falaba,Falabamos,Falabades,Falaban
Seguía,Seguías,Seguía,Seguiamos,Seguiades,Seguían
Viña,Viñas,Viña,Viñamos,Viñades,Viñan
Pensaba,Pensabas,Pensaba,Pensabamos,Pensabades,Pensaban
Poñía,Poñías,Poñía,Poñiamos,Poñiades,Poñían
Quedaba,Quedabas,Quedaba,Quedabamos,Quedabades,Quedaban
Parecía,Parecías,Parecía,Pareciamos,Pareciades,Parecían
Saía,Saías,Saía,Saïamos,Saïades,Saían
Volvía,Volvías,Volvía,Volviamos,Volviades,Volvían
Contaba,Contabas,Contaba,Contabamos,Contabades,Contaban
Atopaba,Atopabas,Atopaba,Atopabamos,Atopabades,Atopaban
Coñecía,Coñecías,Coñecía,Coñeciamos,Coñeciades,Coñecían
Sentía,Sentías,Sentía,Sentiamos,Sentiades,Sentían
Chamaba,Chamabas,Chamaba,Chamabamos,Chamabades,Chamaban
Miraba,Mirabas,Miraba,Mirabamos,Mirabades,Miraban
Vivía,Vivías,Vivía,Viviamos,Viviades,Vivían
Presentaba,Presentabas,Presentaba,Presentabamos,Presentabades,Presentaban
Trataba,Tratabas,Trataba,Tratabamos,Tratabades,Trataban
Entraba,Entrabas,Entraba,Entrabamos,Entrabades,Entraban
Cría,Crías,Cría,Criamos,Criades,Crían
Comezaba,Comezabas,Comezaba,Comezabamos,Comezabades,Comezaban
Abría,Abrías,Abría,Abriamos,Abriades,Abrían
Acababa,Acababas,Acababa,Acababamos,Acababades,Acababan
Realizaba,Realizabas,Realizaba,Realizabamos,Realizabades,Realizaban
Tomaba,Tomabas,Tomaba,Tomabamos,Tomabades,Tomaban
Permitía,Permitías,Permitía,Permitiamos,Permitiades,Permitían
Perdía,Perdías,Perdía,Perdiamos,Perdiades,Perdían
Explicaba,Explicabas,Explicaba,Explicabamos,Explicabades,Explicaban
Mantía,Mantías,Mantía,Mantiamos,Mantiades,Mantían
Botaba,Botabas,Botaba,Botabamos,Botabades,Botaban
Consideraba,Considerabas,Consideraba,Considerabamos,Considerabades,Consideraban
Pedía,Pedías,Pedía,Pediamos,Pediades,Pedían
Existía,Existías,Existía,Existiamos,Existiades,Existían
Traballaba,Traballabas,Traballaba,Traballabamos,Traballabades,Traballaban
Entendía,Entendías,Entendía,Entendiamos,Entendiades,Entendían
Producía,Producías,Producía,Produciamos,Produciades,Producían
Preguntaba,Preguntabas,Preguntaba,Preguntabamos,Preguntabades,Preguntaban
Aparecía,Aparecías,Aparecía,Apareciamos,Apareciades,Aparecían
Buscaba,Buscabas,Buscaba,Buscabamos,Buscabades,Buscaban
Andaba,Andabas,Andaba,Andabamos,Andabades,Andaban
Conseguía,Conseguías,Conseguía,Conseguiamos,Conseguiades,Conseguían
Escoitaba,Escoitabas,Escoitaba,Escoitabamos,Escoitabades,Escoitaban
Lembraba,Lembrabas,Lembraba,Lembrabamos,Lembrabades,Lembraban
Cumpría,Cumprías,Cumpría,Cumpriamos,Cumpriades,Cumprían
Achegaba,Achegabas,Achegaba,Achegabamos,Achegabades,Achegaban
Collía,Collías,Collía,Colliamos,Colliades,Collían
Resultaba,Resultabas,Resultaba,Resultabamos,Resultabades,Resultaban
Escribía,Escribías,Escribía,Escribiamos,Escribiades,Escribían
Recibía,Recibías,Recibía,Recibiamos,Recibiades,Recibían
Sinalaba,Sinalabas,Sinalaba,Sinalabamos,Sinalabades,Sinalaban
Caía,Caías,Caía,Caiamos,Caïades,Caïan
Convertía,Convertías,Convertía,Convertiamos,Convertiades,Convertían
Aseguraba,Asegurabas,Aseguraba,Asegurabamos,Asegurabades,Aseguraban
Morría,Morrías,Morría,Morriamos,Morriades,Morrían
Formaba,Formabas,Formaba,Formabamos,Formabades,Formaban
Decidía,Decidías,Decidía,Decidiamos,Decidiades,Decidían
Supoñía,Supoñías,Supoñía,Supoñiamos,Supoñiades,Supoñían
Remataba,Rematabas,Remataba,Rematabamos,Rematabades,Remataban
Gustaba,Gustabas,Gustaba,Gustabamos,Gustabades,Gustaban
Ofrecía,Ofrecías,Ofrecía,Ofreciamos,Ofreciades,Ofrecían
Lía,Lías,Lía,Liamos,Liades,Lían
Metía,Metías,Metía,Metiamos,Metiades,Metían
Dirixía,Dirixías,Dirixía,Dirixiamos,Dirixiades,Dirixían
Creaba,Creabas,Creaba,Creabamos,Creabades,Creaban
Agardaba,Agardabas,Agardaba,Agardabamos,Agardabades,Agardaban
Servía,Servías,Servía,Serviamos,Serviades,Servían
Afirmaba,Afirmabas,Afirmaba,Afirmabamos,Afirmabades,Afirmaban
Recollía,Recollías,Recollía,Recolliamos,Recolliades,Recollían
Recoñecía,Recoñecías,Recoñecía,Recoñeciamos,Recoñeciades,Recoñecían
Esperaba,Esperabas,Esperaba,Esperabamos,Esperabades,Esperaban
Situaba,Situabas,Situaba,Situabamos,Situabades,Situaban
