Infinitivo,Xerundio,Participio
Ser,Sendo,Sido
Ter,Tendo,Tido
Estar,Estando,Estado 
Facer,Facendo,Feito
Poder,Podendo,Podido 
Haber,Habendo,Habido
Ir,Indo,Ido
Dicir,Dicindo,Dito
Dar,Dando,Dado
Ver,Vendo,Visto
Saber,Sabendo,Sabido
Querer,Querendo,Querido 
Chegar,Chegando,Chegado
Levar,Levando,Levado
Pasar,Pasando,Pasado
Deber,Debendo,Debido
Deixar,Deixando,Deixado
Falar,Falando,Falado
Seguir,Seguindo,Seguido
Vir,Vindo,Vido
Pensar,Pensando,Pensado
Poñer,Poñendo,Posto
Quedar,Quedando,Quedado
Parecer,Parecendo,Parecido
Saír,Saíndo,Saído
Volver,Volvendo,Volvido / Volto
Contar,Contando,Contado
Atopar,Atopando,Atopado
Coñecer,Coñecendo,Coñecido
Sentir,Sentindo,Sentido
Chamar,Chamando,Chamado
Mirar,Mirando,Mirado
Vivir,Vivindo,Vivido
Presentar,Presentando,Presentado
Tratar,Tratando,Tratado
Entrar,Entrando,Entrado
Crer,Crendo,Crido
Comezar,Comezando,Comezado
Abrir,Abrindo,Aberto
Acabar,Acabando,Acabado
Realizar,Realizando,Realizado
Tomar,Tomando,Tomado
Permitir,Permitindo,Permitido
Perder,Perdendo,Perdido
Explicar,Explicando,Explicado
Manter,Mantendo,Mantido
Botar,Botando,Botado
Considerar,Considerando,Considerado
Pedir,Pedindo,Pedido
Existir,Existindo,Existido
Traballar,Traballando,Traballado
Entender,Entendendo,Entendido
Producir,Producindo,Producido
Preguntar,Preguntando,Preguntado
Aparecer,Aparecendo,Aparecido
Buscar,Buscando,Buscado
Andar,Andando,Andado
Conseguir,Conseguindo,Conseguido
Escoitar,Escoitando,Escoitado
Lembrar,Lembrando,Lembrado
Cumprir,Cumprindo,Cumprido
Achegar,Achegando,Achegado
Coller,Collendo,Collido / Colleito
Resultar,Resultando,Resultado
Escribir,Escribindo,Escribido / Escrito
Recibir,Recibindo,Recibido
Sinalar,Sinalando,Sinalado
Caer,Caendo,Caido
Converter,Convertendo,Convertido / Converso
Asegurar,Asegurando,Asegurado
Morrer,Morrendo,Morto
Formar,Formando,Formado
Decidir,Decidindo,Decidido
Supoñer,Supoñendo,Suposto
Rematar,Rematando,Rematado
Gustar,Gustando,Gustado
Ofrecer,Ofrecendo,Ofrecido
Ler,Lendo,Lido
Meter,Metendo,Metido
Dirixir,Dirixindo,Dirixido
Crear,Creando,Creado
Agardar,Agardando,Agardado
Servir,Servindo,Servido
Afirmar,Afirmando,Afirmado
Recoller,Recollendo,Recollido / Recolleito
Recoñecer,Recoñecendo,Recoñecido
Esperar,Esperando,Esperado
Situar,Situando,Situado
Empezar,Empezando,Empezado
Sentar,Sentando,Sentado
Nacer,Nacendo,Nacido / Nado
Indicar,Indicando,Indicado
Utilizar,Utilizando,Utilizado
Marchar,Marchando,Marchado
Celebrar,Celebrando,Celebrado
Incluír,Incluíndo,Incluído
Desenvolver,Desenvolvendo,Desenvolvido / Desenvolto
Pagar,Pagando,Pagado / Pago
Baixar,Baixando,Baixado
Dispoñer,Dispoñendo,Disposto
Traer,Traendo,Traído 
Responder,Respondendo,Respondido
Participar,Participando,Participado
Sacar,Sacando,Sacado
Continuar,Continuando,Continuado
Engadir,Engadindo,Engadido
Publicar,Publicando,Publicado
Xogar,Xogando,Xogado
Cambiar,Cambiando,Cambiado
Evitar,Evitando,Evitado
Axudar,Axudando,Axudado
Amosar,Amosando,Amosado
Esquecer,Esquecendo,Esquecido
Comer,Comendo,Comido / Comesto
Tirar,Tirando,Tirado
Subir,Subindo,Subido
Gañar,Gañando,Gañado
Destacar,Destacando,Destacado
Tocar,Tocando,Tocado
Mover,Movendo,Movido
Pretender,Pretendendo,Pretendido
Correr,Correndo,Corrido
Ficar,Ficando,Ficado
Representar,Representando,Representado
Acompañar,Acompañando,Acompañado
Ocupar,Ocupando,Ocupado
Precisar,Precisando,Precisado
Erguer,Erguendo,Erguido / Ergueito
Semellar,Semellando,Semellado
Ollar,Ollando,Ollado
Defender,Defendendo,Defendido
Referir,Referindo,Referido
Informar,Informando,Informado
Recordar,Recordando,Recordado
Pechar,Pechando,Pechado
Establecer,Establecendo,Establecido
Obter,Obtendo,Obtido
Descubrir,Descubrindo,Descuberto
Anunciar,Anunciando,Anunciado
Provocar,Provocando,Provocado
Sufrir,Sufrindo,Sufrido
Tentar,Tentando,Tentado
Observar,Observando,Observado
Empregar,Empregando,Empregado
Dedicar,Dedicando,Dedicado
Ocorrer,Ocorrendo,Ocorrido
Intentar,Intentando,Intentado
Matar,Matando,Matado
Mandar,Mandando,Mandado
Encontrar,Encontrando,Encontrado
Decatar,Decatando,Decatado
Durmir,Durmindo,Durmido
Acadar,Acadando,Acadado
Mostrar,Mostrando,Mostrado
Comprender,Comprendendo,Comprendido
Preparar,Preparando,Preparado
Lograr,Logrando,Logrado
Gardar,Gardando,Gardado
Deter,Detendo,Detido
Necesitar,Necesitando,Necesitado
Apuntar,Apuntando,Apuntado
Faltar,Faltando,Faltado
Aceptar,Aceptando,Aceptado
Aproveitar,Aproveitando,Aproveitado
Afectar,Afectando,Afectado
Constituír,Constituíndo,Constituído
Superar,Superando,Superado
Coidar,Coidando,Coidado
Parar,Parando,Parado
Repetir,Repetindo,Repetido
Actuar,Actuando,Actuado
Reducir,Reducindo,Reducido
Desaparecer,Desaparecendo,Desaparecido
Aprender,Aprendendo,Aprendido / Apreso
Prever,Prevendo,Previsto
Usar,Usando,Usado
Oír,Oíndo,Oído
Apoiar,Apoiando,Apoiado
Negar,Negando,Negado
Relacionar,Relacionando,Relacionado
Suceder,Sucedendo,Sucedido
Organizar,Organizando,Organizado
Marcar,Marcando,Marcado
Construír,Construíndo,Construído
Recuperar,Recuperando,Recuperado
Rir,Rindo,Rido
Comentar,Comentando,Comentado
Demostrar,Demostrando,Demostrado
Vender,Vendendo,Vendido
Obrigar,Obrigando,Obrigado
Aumentar,Aumentando,Aumentado
Abandonar,Abandonando,Abandonado
Manifestar,Manifestando,Manifestado
Compartir,Compartindo,Compartido
Fuxir,Fuxindo,Fuxido
Iniciar,Iniciando,Iniciado
Xurdir,Xurdindo,Xurdido
Acudir,Acudindo,Acudido
Acontecer,Acontecendo,Acontecido
Pór,Pondo,Posto
Imaxinar,Imaxinando,Imaxinado
Berrar,Berrando,Berrado
Comprobar,Comprobando,Comprobado
Atender,Atendendo,Atendido
Propoñer,Propoñendo,Proposto
Analizar,Analizando,Analizado
Permanecer,Permanecendo,Permanecido
Cubrir,Cubrindo,Cuberto
Camiñar,Camiñando,Camiñado
Insistir,Insistindo,Insistido
Beber,Bebendo,Bebido
Alcanzar,Alcanzando,Alcanzado
Encher,Enchendo,Enchido
Colocar,Colocando,Colocado
Procurar,Procurando,Procurado
Aprobar,Aprobando,Aprobado
Notar,Notando,Notado
Aplicar,Aplicando,Aplicado
Corresponder,Correspondendo,Correspondido
Medrar,Medrando,Medrado
Acordar,Acordando,Acordado
Valer,Valendo,Valido
Interesar,Interesando,Interesado
Levantar,Levantando,Levantado
Preocupar,Preocupando,Preocupado
