Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
For,Fores,For,Formos,Fordes,Foren
Tiver,Tiveres,Tiver,Tivermos,Tiverdes,Tiveren
Estiver,Estiveres,Estiver,Estivermos,Estiverdes,Estiveren
Fixer,Fixeres,Fixer,Fixermos,Fixerdes,Fixeren
Puider,Puideres,Puider,Puidermos,Puiderdes,Puideren
Houber,Houberes,Houber,Houbermos,Houberdes,Houberen
For,Fores,For,Formos,Fordes,Foren
Dixer,Dixeres,Dixer,Dixermos,Dixerdes,Dixeren
Der,Deres,Der,Dermos,Derdes,Deren
Vir,Vires,Vir,Virmos,Virdes,Viren
Souber,Souberes,Souber,Soubermos,Souberdes,Souberen
Quixer,Quixeres,Quixer,Quixermos,Quixerdes,Quixeren
Chegar,Chegares,Chegar,Chegarmos,Chegardes,Chegaren
Levar,Levares,Levar,Levarmos,Levardes,Levaren
Pasar,Pasares,Pasar,Pasarmos,Pasardes,Pasaren
Deber,Deberes,Deber,Debermos,Deberdes,Deberen
Deixar,Deixares,Deixar,Deixarmos,Deixardes,Deixaren
Falar,Falares,Falar,Falarmos,Falardes,Falaren
Seguir,Seguires,Seguir,Seguirmos,Seguirdes,Seguiren
Viñer,Viñeres,Viñer,Viñermos,Viñerdes,Viñeren
Pensar,Pensares,Pensar,Pensarmos,Pensardes,Pensaren
Puxer,Puxeres,Puxer,Puxermos,Puxerdes,Puxeren
Quedar,Quedares,Quedar,Quedarmos,Quedardes,Quedaren
Parecer,Pareceres,Parecer,Parecermos,Parecerdes,Pareceren
Saír,Saíres,Saír,Saírmos,Saírdes,Saíren
Volver,Volveres,Volver,Volvermos,Volverdes,Volveren
Contar,Contares,Contar,Contarmos,Contardes,Contaren
Atopar,Atopares,Atopar,Atoparmos,Atopardes,Atoparen
Coñecer,Coñeceres,Coñecer,Coñecermos,Coñecerdes,Coñeceren
Sentir,Sentires,Sentir,Sentirmos,Sentirdes,Sentiren
Chamar,Chamares,Chamar,Chamarmos,Chamardes,Chamaren
Mirar,Mirares,Mirar,Mirarmos,Mirardes,Miraren
Vivir,Vivires,Vivir,Vivirmos,Vivirdes,Viviren
Presentar,Presentares,Presentar,Presentarmos,Presentardes,Presentaren
Tratar,Tratares,Tratar,Tratarmos,Tratardes,Trataren
Entrar,Entrares,Entrar,Entrarmos,Entrardes,Entraren
Crer,Creres,Crer,Crermos,Crerdes,Creren
Comezar,Comezares,Comezar,Comezarmos,Comezardes,Comezaren
Abrir,Abrires,Abrir,Abrirmos,Abrirdes,Abriren
Acabar,Acabares,Acabar,Acabarmos,Acabardes,Acabaren
Realizar,Realizares,Realizar,Realizarmos,Realizardes,Realizaren
Tomar,Tomares,Tomar,Tomarmos,Tomardes,Tomaren
Permitir,Permitires,Permitir,Permitirmos,Permitirdes,Permitiren
Perder,Perderes,Perder,Perdermos,Perderdes,Perderen
Explicar,Explicares,Explicar,Explicarmos,Explicardes,Explicaren
Manter,Manteres,Manter,Mantermos,Manterdes,Manteren
Botar,Botares,Botar,Botarmos,Botardes,Botaren
Considerar,Considerares,Considerar,Considerarmos,Considerardes,Consideraren
Pedir,Pedires,Pedir,Pedirmos,Pedirdes,Pediren
Existir,Existires,Existir,Existirmos,Existirdes,Existiren
Traballar,Traballares,Traballar,Traballarmos,Traballardes,Traballaren
Entender,Entenderes,Entender,Entendermos,Entenderdes,Entenderen
Producir,Producires,Producir,Producirmos,Producirdes,Produciren
Preguntar,Preguntares,Preguntar,Preguntarmos,Preguntardes,Preguntaren
Aparecer,Apareceres,Aparecer,Aparecermos,Aparecerdes,Apareceren
Buscar,Buscares,Buscar,Buscarmos,Buscardes,Buscaren
Andar,Andares,Andar,Andarmos,Andardes,Andaren
Conseguir,Conseguires,Conseguir,Conseguirmos,Conseguirdes,Conseguiren
Escoitar,Escoitares,Escoitar,Escoitarmos,Escoitardes,Escoitaren
Lembrar,Lembrares,Lembrar,Lembrarmos,Lembrardes,Lembraren
Cumprir,Cumprires,Cumprir,Cumprirmos,Cumprirdes,Cumpriren
Achegar,Achegares,Achegar,Achegarmos,Achegardes,Achegaren
Coller,Colleres,Coller,Collermos,Collerdes,Colleren
Resultar,Resultares,Resultar,Resultarmos,Resultardes,Resultaren
Escribir,Escribires,Escribir,Escribirmos,Escribirdes,Escribiren
Recibir,Recibires,Recibir,Recibirmos,Recibirdes,Recibiren
Sinalar,Sinalares,Sinalar,Sinalarmos,Sinalardes,Sinalaren
Caer,Caeres,Caer,Caermos,Caerdes,Caeren
Converter,Converteres,Converter,Convertermos,Converterdes,Converteren
Asegurar,Asegurares,Asegurar,Asegurarmos,Asegurardes,Aseguraren
Morrer,Morreres,Morrer,Morrermos,Morrerdes,Morreren
Formar,Formares,Formar,Formarmos,Formardes,Formaren
Decidir,Decidires,Decidir,Decidirmos,Decidirdes,Decidiren
Supuxer,Supuxeres,Supuxer,Supuxermos,Supuxerdes,Supuxeren
Rematar,Rematares,Rematar,Rematarmos,Rematardes,Remataren
Gustar,Gustares,Gustar,Gustarmos,Gustardes,Gustaren
Ofrecer,Ofreceres,Ofrecer,Ofrecermos,Ofrecerdes,Ofreceren
Ler,Leres,Ler,Lermos,Lerdes,Leren
Meter,Meteres,Meter,Metermos,Meterdes,Meteren
Dirixir,Dirixires,Dirixir,Dirixirmos,Dirixirdes,Dirixiren
Crear,Creares,Crear,Crearmos,Creardes,Crearen
Agardar,Agardares,Agardar,Agardarmos,Agardardes,Agardaren
Servir,Servires,Servir,Servirmos,Servirdes,Serviren
Afirmar,Afirmares,Afirmar,Afirmarmos,Afirmardes,Afirmaren
Recoller,Recolleres,Recoller,Recollermos,Recollerdes,Recolleren
Recoñecer,Recoñeceres,Recoñecer,Recoñecermos,Recoñecerdes,Recoñeceren
Esperar,Esperares,Esperar,Esperarmos,Esperardes,Esperaren
