Ti,Vós
Sé,Sede
Ten,Tende/Tede
Está,Estade
Fai,Facede
Pode,Podede

Vai,Ide
Di,Dicide
Dá,Dade
Ve,Vede
Sabe,Sabede
Quere,Querede
Chega,Chegade
Leva,Levade
Pasa,Pasade
Debe,Debede
Deixa,Deixade
Fala,Falade
Sigue,Seguide
Ven,"Vinde, Vide"
Pensa,Pensade
Pon,Poñede
Queda,Quedade
Parece,Parecede
Sae,Saíde
Volve,Volvede
Conta,Contade
Atopa,Atopade
Coñece,Coñecede
Sinte,Sentide
Chama,Chamade
Mira,Mirade
Vive,Vivide
Presenta,Presentade
Trata,Tratade
Entra,Entrade
Cre,Crede
Comeza,Comezade
Abre,Abride
Acaba,Acabade
Realiza,Realizade
Toma,Tomade
Permite,Permitide
Perde,Perdede
Explica,Explicade
Mante,Mantede
Bota,Botade
Considera,Considerade
Pide,Pedide
Existe,Existide
Traballa,Traballade
Entende,Entendede
Produce,Producide
Pregunta,Preguntade
Aparece,Aparecede
Busca,Buscade
Anda,Andade
Consigue,Conseguide
Escoita,Escoitade
Lembra,Lembrade
Cumpre,Cumpride
Achega,Achegade
Colle,Collede
Resulta,Resultade
Escribe,Escribide
Recibe,Recibide
Sinala,Sinalade
Cae,Caede
Converte,Convertede
Asegura,Asegurade
Morre,Morrede
Forma,Formade
Decide,Decidide
Supón,Supoñede
Remata,Rematade
Gusta,Gustade
Ofrece,Ofrecede
Le,Lede
Mete,Metede
Dirixe,Dirixide
Crea,Creade
Agarda,Agardade
Sirve,Servide
Afirma,Afirmade
Recolle,Recollede
Recoñece,Recoñecede
Espera,Esperade
Sitúa,Situade
Empeza,Empezade
Senta,Sentade
Nace,Nacede
Indica,Indicade
Utiliza,Utilizade
Marcha,Marchade
Celebra,Celebrade
Inclúe,Incluíde
Desenvolve,Desenvolvede
Paga,Pagade
Baixa,Baixade
Dispón,Dispoñede
Trae,Traede
Responde,Respondede
Participa,Participade
Saca,Sacade
Continúa,Continuade
Engade,Engadide
Publica,Publicade
Xoga,Xogade
Cambia,Cambiade
Evita,Evitade
Axuda,Axudade
Amosa,Amosade
Esquece,Esquecede
Come,Comede
Tira,Tirade
Sube,Subide
Gaña,Gañade
Destaca,Destacade
Toca,Tocade
Move,Movede
Pretende,Pretendede
Corre,Correde
Fica,Ficade
Representa,Representade
Acompaña,Acompañade
Ocupa,Ocupade
Precisa,Precisade
Ergue,Erguede
Semella,Semellade
Olla,Ollade
Defende,Defendede
Refire,Referide
Informa,Informade
Recorda,Recordade
Pecha,Pechade
Establece,Establecede
Obte,Obtede
Descubre,Descubride
Anuncia,Anunciade
Provoca,Provocade
Sufre,Sufride
Tenta,Tentade
Observa,Observade
Emprega,Empregade
Dedica,Dedicade

Intenta,Intentade
Mata,Matade
Manda,Mandade
Encontra,Encontrade
Decata,Decatade
Durme,Durmide
Acada,Acadade
Mostra,Mostrade
Comprende,Comprendede
Prepara,Preparade
Logra,Lograde
Garda,Gardade
Dete,Detede
Necesita,Necesitade
Apunta,Apuntade
Falta,Faltade
Acepta,Aceptade
Aproveita,Aproveitade
Afecta,Afectade
Constitúe,Constituíde
Supera,Superade
Coida,Coidade
Para,Parade
Repite,Repetide
Actúa,Actuade
Reduce,Reducide
Desaparece,Desaparecede
Aprende,Aprendede
Prevé,Prevede
Usa,Usade
Oe,Oíde
Apoia,Apoiade
Nega,Negade
Relaciona,Relacionade

Organiza,Organizade
Marca,Marcade
Constrúe,Construíde
Recupera,Recuperade
Ri,Ride
Comenta,Comentade
Demostra,Demostrade
Vende,Vendede
Obriga,Obrigade
Aumenta,Aumentade
Abandona,Abandonade
Manifesta,Manifestade
Comparte,Compartide
Fuxe,Fuxide
Inicia,Iniciade
Xurde,Xurdide
Acude,Acudide

Pon,Ponde
Imaxina,Imaxinade
Berra,Berrade
Comproba,Comprobade
Atende,Atendede
Propón,Propoñede
Analiza,Analizade
Permanece,Permanecede
Cubre,Cubride
Camiña,Camiñade
Insiste,Insistide
Bebe,Bebede
Alcanza,Alcanzade
Enche,Enchede
Coloca,Colocade
Procura,Procurade
Aproba,Aprobade
Nota,Notade
Aplica,Aplicade
Corresponde,Correspondede
Medra,Medrade
Acorda,Acordade
Vale,Valede
Interesa,Interesade
Levanta,Levantade
Preocupa,Preocupade
Define,Definide
Importa,Importade
Xera,Xerade
Confirma,Confirmade
Visita,Visitade
Desexa,Desexade
Mellora,Mellorade
Significa,Significade
Entrega,Entregade
Impide,Impedide
Denuncia,Denunciade
Canta,Cantade
Declara,Declarade
Expresa,Expresade
Esixe,Esixide
Convence,Convencede
Asume,Asumide
Une,Unide
Depende,Dependede
Rexistra,Rexistrade
Basea,Baseade
Fixa,Fixade
Coincide,Coincidide
Funciona,Funcionade
Elixe,Elixide
Viste,Vestide
Chora,Chorade
Sorre,Sorride
Reune,Reunide
Prefire,Preferide
Advirte,Advertide
Avanza,Avanzade
Contesta,Contestade
Cala,Calade
Soa,Soade
Merca,Mercade
Adoita,Adoitade
Solicita,Solicitade
Contempla,Contemplade
Deita,Deitade
Goza,Gozade
Reclama,Reclamade
Integra,Integrade
Cruza,Cruzade
Percorre,Percorrede
Asiste,Asistide
Resolve,Resolvede
Destina,Destinade
Rompe,Rompede
Elabora,Elaborade
Suma,Sumade
Identifica,Identificade
Garante,Garantide
Asina,Asinade
Conte,Contede
Introduce,Introducide
Facilita,Facilitade
Quita,Quitade
Dece,Decede
Conduce,Conducide
Envía,Enviade
Acusa,Acusade
Parte,Partide
Centra,Centrade
Posúe,Posuíde
Determina,Determinade
Causa,Causade
Tarda,Tardade
Rexeita,Rexeitade
Lanza,Lanzade
Exerce,Exercede
Regresa,Regresade
Incorpora,Incorporade
Encarga,Encargade
Sorprende,Sorprendede
Conserva,Conservade
Impón,Impoñede
Adquire,Adquiride
Corta,Cortade
Consiste,Consistide
Contribúe,Contribuíde
Viaxa,Viaxade
Procede,Procedede
Conclúe,Concluíde
Vira,Virade
Escolle,Escollede
Controla,Controlade
Loita,Loitade
Bate,Batede
Acolle,Acollede
Presta,Prestade
Implica,Implicade
Casa,Casade
Muda,Mudade
Pertence,Pertencede
Retira,Retirade
Salva,Salvade
Adopta,Adoptade
Estuda,Estudade
Convoca,Convocade
Subliña,Subliñade
Esperta,Espertade
Instala,Instalade
Custa,Custade
Estende,Estendede
Somete,Sometede
Promove,Promovede
Interpreta,Interpretade
Traslada,Trasladade
Atravesa,Atravesade
Rodea,Rodeade
Concede,Concedede
Limita,Limitade
Cabe,Cabede
Merece,Merecede
Dubida,Dubidade
Soste,Sostede
Separa,Separade
Protexe,Protexede
Prende,Prendede
Cobra,Cobrade
Estudia,Estudiade
Expón,Expoñede
Percibe,Percibide
Admite,Admitide
Deriva,Derivade
Soña,Soñade
Monta,Montade
Xustifica,Xustificade
Cita,Citade
Emite,Emitide
Comunica,Comunicade
Enfronta,Enfrontade
Compón,Compoñede
Reflicte,Reflectide
Respecta,Respectade
Valora,Valorade
Afasta,Afastade
Figura,Figurade
Interve,Intervide
Critica,Criticade
Rouba,Roubade
Accede,Accedede
Transmite,Transmitide
Volta,Voltade
Distingue,Distinguide
Dura,Durade
Proba,Probade
Escapa,Escapade
Despide,Despedide
Atreve,Atrevede
Confía,Confiade
Ama,Amade
Aposta,Apostade
Tende,Tendede
Devolve,Devolvede
Pousa,Pousade
Xunta,Xuntade
Deseña,Deseñade
Carga,Cargade
Completa,Completade
Incrementa,Incrementade
Transforma,Transformade
Confesa,Confesade
Goberna,Gobernade
Salienta,Salientade
Avisa,Avisade
Colabora,Colaborade
Favorece,Favorecede
Promete,Prometede
Pega,Pegade
Revela,Revelade
Ordena,Ordenade
Consume,Consumide
Conve,Convide
Pinta,Pintade
Ensina,Ensinade
Describe,Describide
Agradece,Agradecede
Adapta,Adaptade
Pasea,Paseade
Cualifica,Cualificade
Compra,Comprade
Detecta,Detectade
Repara,Reparade
Salta,Saltade
Preside,Presidide
Impulsa,Impulsade
Teme,Temede
Substitúe,Substituíde
Supón,Suponde
Adianta,Adiantade
Condena,Condenade
Anima,Animade
Mide,Medide
Investiga,Investigade
Pronuncia,Pronunciade
Comete,Cometede
Elimina,Eliminade
Limpa,Limpade
Aclara,Aclarade
Concentra,Concentrade
Conforma,Conformade
Mestura,Mesturade
Opta,Optade
Aborda,Abordade
Desfai,Desfacede
Baila,Bailade
Domina,Dominade
Arrastra,Arrastrade
Experimenta,Experimentade
Acha,Achade
Vota,Votade
Caracteriza,Caracterizade
Oculta,Ocultade
Formula,Formulade
Padece,Padecede
Perdoa,Perdoade
Reparte,Repartide
Proporciona,Proporcionade
Agocha,Agochade
Require,Requiride
Voa,Voade
Resiste,Resistide
Nomea,Nomeade
Vence,Vencede
Compromete,Comprometede
Ameaza,Ameazade
Solta,Soltade
Gasta,Gastade
Saúda,Saudade
Practica,Practicade
Envolve,Envolvede
Recomenda,Recomendade
Calcula,Calculade
Persigue,Perseguide
Arrinca,Arrincade
Respira,Respirade
Localiza,Localizade
Dota,Dotade
Amplía,Ampliade
Grava,Gravade
Ignora,Ignorade
Convida,Convidade
Traduce,Traducide
Reforza,Reforzade
Carece,Carecede
Descansa,Descansade
Alimenta,Alimentade
Modifica,Modificade
Aprecia,Apreciade
Consulta,Consultade
Dispara,Disparade
Edita,Editade
Fuma,Fumade
Ataca,Atacade
Afai,Afacede
Conecta,Conectade

Prohibe,Prohibide
Abonda,Abondade
Interrompe,Interrompede
Compara,Comparade
Libera,Liberade
Termina,Terminade
Queima,Queimade
Recorre,Recorrede
Doe,Doede
Discute,Discutide
Cede,Cedede
Colga,Colgade
