Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Sexa,Sexas,Sexa,Sexamos,Sexades,Sexan
Teña,Teñas,Teña,Teñamos,Teñades,Teñan
Estea,Esteas,Estea,Esteamos,Esteades,Estean
Faga,Fagas,Faga,Fagamos,Fagades,Fagan
Poida,Poidas,Poida,Poidamos,Poidades,Poidan
Haxa,Haxas,Haxa,Haxamos,Haxades,Haxan
Vaia,Vaias,Vaia,Vaiamos,Vaiades,Vaian
Diga,Digas,Diga,Digamos,Digades,Digan
Dea,Deas,Dea,Deamos,Deades,Dean
Vexa,Vexas,Vexa,Vexamos,Vexades,Vexan
Saiba,Saibas,Saiba,Saibamos,Saibades,Saiban
Queira,Queiras,Queira,Queiramos,Queirades,Queiran
Chegue,Chegues,Chegue,Cheguemos,Cheguedes,Cheguen
Leve,Leves,Leve,Levemos,Levedes,Leven
Pase,Pases,Pase,Pasemos,Pasedes,Pasen
Deba,Debas,Deba,Debamos,Debades,Deban
Deixe,Deixes,Deixe,Deixemos,Deixedes,Deixen
Fale,Fales,Fale,Falemos,Faledes,Falen
Siga,Sigas,Siga,Sigamos,Sigades,Sigan
Veña,Veñas,Veña,Veñamos,Veñades,Veñan
Pense,Penses,Pense,Pensemos,Pensedes,Pensen
Poña,Poñas,Poña,Poñamos,Poñades,Poñan
Quede,Quedes,Quede,Quedemos,Quededes,Queden
Pareza,Parezas,Pareza,Parezamos,Parezades,Parezan
Saia,Saias,Saia,Saiamos,Saiades,Saian
Volva,Volvas,Volva,Volvamos,Volvades,Volvan
Conte,Contes,Conte,Contemos,Contedes,Conten
Atope,Atopes,Atope,Atopemos,Atopedes,Atopen
Coñeza,Coñezas,Coñeza,Coñezamos,Coñezades,Coñezan
Sinta,Sintas,Sinta,Sintamos,Sintades,Sintan
Chame,Chames,Chame,Chamemos,Chamedes,Chamen
Mire,Mires,Mire,Miremos,Miredes,Miren
Viva,Vivas,Viva,Vivamos,Vivades,Vivan
Presente,Presentes,Presente,Presentemos,Presentedes,Presenten
Trate,Trates,Trate,Tratemos,Tratedes,Traten
Entre,Entres,Entre,Entremos,Entredes,Entren
Crea,Creas,Crea,Creamos,Creades,Crean
Comece,Comeces,Comece,Comecemos,Comecedes,Comecen
Abra,Abras,Abra,Abramos,Abrades,Abran
Acabe,Acabes,Acabe,Acabemos,Acabedes,Acaben
Realice,Realices,Realice,Realicemos,Realicedes,Realicen
Tome,Tomes,Tome,Tomemos,Tomedes,Tomen
Permita,Permitas,Permita,Permitamos,Permitades,Permitan
Perda,Perdas,Perda,Perdamos,Perdades,Perdan
Explique,Expliques,Explique,Expliquemos,Expliquedes,Expliquen
Manta,Mantas,Manta,Mantamos,Mantades,Mantan
Bote,Botes,Bote,Botemos,Botedes,Boten
Considere,Consideres,Considere,Consideremos,Consideredes,Consideren
Pida,Pidas,Pida,Pidamos,Pidades,Pidan
Exista,Existas,Exista,Existamos,Existades,Existan
Traballe,Traballes,Traballe,Traballemos,Traballedes,Traballen
Entenda,Entendas,Entenda,Entendamos,Entendades,Entendan
Produza,Produzas,Produza,Produzamos,Produzades,Produzan
Pregunte,Preguntes,Pregunte,Preguntemos,Preguntedes,Pregunten
Apareza,Aparezas,Apareza,Aparezamos,Aparezades,Aparezan
Busque,Busques,Busque,Busquemos,Busquedes,Busquen
Ande,Andes,Ande,Andemos,Andedes,Anden
Consiga,Consigas,Consiga,Consigamos,Consigades,Consigan
Escoite,Escoites,Escoite,Escoitemos,Escoitedes,Escoiten
Lembre,Lembres,Lembre,Lembremos,Lembredes,Lembren
Cumpra,Cumpras,Cumpra,Cumpramos,Cumprades,Cumpran
Achegue,Achegues,Achegue,Acheguemos,Acheguedes,Acheguen
Colla,Collas,Colla,Collamos,Collades,Collan
Resulte,Resultes,Resulte,Resultemos,Resultedes,Resulten
Escriba,Escribas,Escriba,Escribamos,Escribades,Escriban
Reciba,Recibas,Reciba,Recibamos,Recibades,Reciban
Sinale,Sinales,Sinale,Sinalemos,Sinaledes,Sinalen
Caia,Caias,Caia,Caiamos,Caiades,Caian
Converta,Convertas,Converta,Convertamos,Convertades,Convertan
Asegure,Asegures,Asegure,Aseguremos,Aseguredes,Aseguren
Morra,Morras,Morra,Morramos,Morrades,Morran
Forme,Formes,Forme,Formemos,Formedes,Formen
Decida,Decidas,Decida,Decidamos,Decidades,Decidan
Supoña,Supoñas,Supoña,Supoñamos,Supoñades,Supoñan
Remate,Remates,Remate,Rematemos,Rematedes,Rematen
Guste,Gustes,Guste,Gustemos,Gustedes,Gusten
