Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Fora,Foras,Fora,Foramos,Forades,Foran
Tivera,Tiveras,Tivera,Tiveramos,Tiverades,Tiveran
Estivera,Estiveras,Estivera,Estiveramos,Estiverades,Estiveran
Fixera,Fixeras,Fixera,Fixeramos,Fixerades,Fixeran
Puidera,Puideras,Puidera,Puideramos,Puiderades,Puideran
Houbera,Houberas,Houbera,Houberamos,Houberades,Houberan
Fora,Foras,Fora,Foramos,Forades,Foran
Dixera,Dixeras,Dixera,Dixeramos,Dixerades,Dixeran
Dera,Deras,Dera,Deramos,Derades,Deran
Vira,Viras,Vira,Viramos,Virades,Viran
Soubera,Souberas,Soubera,Souberamos,Souberades,Souberan
Quixera,Quixeras,Quixera,Quixeramos,Quixerades,Quixeran
Chegara,Chegaras,Chegara,Chegaramos,Chegarades,Chegaran
Levara,Levaras,Levara,Levaramos,Levarades,Levaran
Pasara,Pasaras,Pasara,Pasaramos,Pasarades,Pasaran
Debera,Deberas,Debera,Deberamos,Deberades,Deberan
Deixara,Deixaras,Deixara,Deixaramos,Deixarades,Deixaran
Falara,Falaras,Falara,Falaramos,Falarades,Falaran
Seguira,Seguiras,Seguira,Seguiramos,Seguirades,Seguiran
Viñera,Viñeras,Viñera,Viñeramos,Viñerades,Viñeran
Pensara,Pensaras,Pensara,Pensaramos,Pensarades,Pensaran
Puxera,Puxeras,Puxera,Puxeramos,Puxerades,Puxeran
Quedara,Quedaras,Quedara,Quedaramos,Quedarades,Quedaran
Parecera,Pareceras,Parecera,Pareceramos,Parecerades,Pareceran
Saíra,Saíras,Saíra,Sairamos,Sairades,Saíran
Volvera,Volveras,Volvera,Volveramos,Volverades,Volveran
Contara,Contaras,Contara,Contaramos,Contarades,Contaran
Atopara,Atoparas,Atopara,Atoparamos,Atoparades,Atoparan
Coñecera,Coñeceras,Coñecera,Coñeceramos,Coñecerades,Coñeceran
Sentira,Sentiras,Sentira,Sentiramos,Sentirades,Sentiran
Chamara,Chamaras,Chamara,Chamaramos,Chamarades,Chamaran
Mirara,Miraras,Mirara,Miraramos,Mirarades,Miraran
Vivira,Viviras,Vivira,Viviramos,Vivirades,Viviran
Presentara,Presentaras,Presentara,Presentaramos,Presentarades,Presentaran
Tratara,Trataras,Tratara,Trataramos,Tratarades,Trataran
Entrara,Entraras,Entrara,Entraramos,Entrarades,Entraran
Crera,Creras,Crera,Creramos,Crerades,Creran
Comezara,Comezaras,Comezara,Comezaramos,Comezarades,Comezaran
Abrira,Abriras,Abrira,Abriramos,Abrirades,Abriran
Acabara,Acabaras,Acabara,Acabaramos,Acabarades,Acabaran
Realizara,Realizaras,Realizara,Realizaramos,Realizarades,Realizaran
Tomara,Tomaras,Tomara,Tomaramos,Tomarades,Tomaran
Permitira,Permitiras,Permitira,Permitiramos,Permitirades,Permitiran
Perdera,Perderas,Perdera,Perderamos,Perderades,Perderan
Explicara,Explicaras,Explicara,Explicaramos,Explicarades,Explicaran
Mantera,Manteras,Mantera,Manteramos,Manterades,Manteran
Botara,Botaras,Botara,Botaramos,Botarades,Botaran
Considerara,Consideraras,Considerara,Consideraramos,Considerarades,Consideraran
Pedira,Pediras,Pedira,Pediramos,Pedirades,Pediran
Existira,Existiras,Existira,Existiramos,Existirades,Existiran
Traballara,Traballaras,Traballara,Traballaramos,Traballarades,Traballaran
Entendera,Entenderas,Entendera,Entenderamos,Entenderades,Entenderan
Producira,Produciras,Producira,Produciramos,Producirades,Produciran
Preguntara,Preguntaras,Preguntara,Preguntaramos,Preguntarades,Preguntaran
