Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Serei,Serás,Será,Seremos,Seredes,Serán
Terei,Terás,Terá,Teremos,Teredes,Terán
Estarei,Estarás,Estará,Estaremos,Estaredes,Estarán
Farei,Farás,Fará,Faremos,Faredes,Farán
Poderei,Poderás,Poderá,Poderemos,Poderedes,Poderán
Haberei,Haberás,Haberá,Haberemos,Haberedes,Haberán
Irei,Irás,Irá,Iremos,Iredes,Irán
Direi,Dirás,Dirá,Diremos,Diredes,Dirán
Darei,Darás,Dará,Daremos,Daredes,Darán
Verei,Verás,Verá,Veremos,Veredes,Verán
Saberei,Saberás,Saberá,Saberemos,Saberedes,Saberán
Quererei,Quererás,Quererá,Quereremos,Quereredes,Quererán
Chegarei,Chegarás,Chegará,Chegaremos,Chegaredes,Chegarán
Levarei,Levarás,Levará,Levaremos,Levaredes,Levarán
Pasarei,Pasarás,Pasará,Pasaremos,Pasaredes,Pasarán
Deberei,Deberás,Deberá,Deberemos,Deberedes,Deberán
Deixarei,Deixarás,Deixará,Deixaremos,Deixaredes,Deixarán
Falarei,Falarás,Falará,Falaremos,Falaredes,Falarán
Seguirei,Seguirás,Seguirá,Seguiremos,Seguiredes,Seguirán
Virei,Virás,Virá,Viremos,Viredes,Virán
Pensarei,Pensarás,Pensará,Pensaremos,Pensaredes,Pensarán
Poñerei,Poñerás,Poñerá,Poñeremos,Poñeredes,Poñerán
Quedarei,Quedarás,Quedará,Quedaremos,Quedaredes,Quedarán
Parecerei,Parecerás,Parecerá,Pareceremos,Pareceredes,Parecerán
Sairei,Sairás,Sairá,Sairemos,Sairedes,Sairán
Volverei,Volverás,Volverá,Volveremos,Volveredes,Volverán
Contarei,Contarás,Contará,Contaremos,Contaredes,Contarán
Atoparei,Atoparás,Atopará,Atoparemos,Atoparedes,Atoparán
Coñecerei,Coñecerás,Coñecerá,Coñeceremos,Coñeceredes,Coñecerán
Sentirei,Sentirás,Sentirá,Sentiremos,Sentiredes,Sentirán
Chamarei,Chamarás,Chamará,Chamaremos,Chamaredes,Chamarán
Mirarei,Mirarás,Mirará,Miraremos,Miraredes,Mirarán
Vivirei,Vivirás,Vivirá,Viviremos,Viviredes,Vivirán
Presentarei,Presentarás,Presentará,Presentaremos,Presentaredes,Presentarán
Tratarei,Tratarás,Tratará,Trataremos,Trataredes,Tratarán
Entrarei,Entrarás,Entrará,Entraremos,Entraredes,Entrarán
Crerei,Crerás,Crerá,Creremos,Creredes,Crerán
Comezarei,Comezarás,Comezará,Comezaremos,Comezaredes,Comezarán
Abrirei,Abrirás,Abrirá,Abriremos,Abriredes,Abrirán
Acabarei,Acabarás,Acabará,Acabaremos,Acabaredes,Acabarán
Realizarei,Realizarás,Realizará,Realizaremos,Realizaredes,Realizarán
Tomarei,Tomarás,Tomará,Tomaremos,Tomaredes,Tomarán
Permitirei,Permitirás,Permitirá,Permitiremos,Permitiredes,Permitirán
Perderei,Perderás,Perderá,Perderemos,Perderedes,Perderán
