Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Sería,Serías,Sería,Seriamos,Seriades,Serían
Tería,Terías,Tería,Teriamos,Teriades,Terían
Estaría,Estarías,Estaría,Estariamos,Estariades,Estarían
Faría,Farías,Faría,Fariamos,Fariades,Farían
Podería,Poderías,Podería,Poderiamos,Poderiades,Poderían
Habería,Haberías,Habería,Haberiamos,Haberiades,Haberían
Iría,Irías,Iría,Iriamos,Iriades,Irían
Diría,Dirías,Diría,Diriamos,Diriades,Dirían
Daría,Darías,Daría,Dariamos,Dariades,Darían
Vería,Verías,Vería,Veriamos,Veriades,Verían
Sabería,Saberías,Sabería,Saberiamos,Saberiades,Saberían
Querería,Quererías,Querería,Quereriamos,Quereriades,Quererían
Chegaría,Chegarías,Chegaría,Chegariamos,Chegariades,Chegarían
Levaría,Levarías,Levaría,Levariamos,Levariades,Levarían
Pasaría,Pasarías,Pasaría,Pasariamos,Pasariades,Pasarían
Debería,Deberías,Debería,Deberiamos,Deberiades,Deberían
Deixaría,Deixarías,Deixaría,Deixariamos,Deixariades,Deixarían
Falaría,Falarías,Falaría,Falariamos,Falariades,Falarían
Seguiría,Seguirías,Seguiría,Seguiriamos,Seguiriades,Seguirían
Viría,Virías,Viría,Viriamos,Viriades,Virían
Pensaría,Pensarías,Pensaría,Pensariamos,Pensariades,Pensarían
Poñería,Poñerías,Poñería,Poñeriamos,Poñeriades,Poñerían
Quedaría,Quedarías,Quedaría,Quedariamos,Quedariades,Quedarían
Parecería,Parecerías,Parecería,Pareceriamos,Pareceriades,Parecerían
Sairía,Sairías,Sairía,Sairiamos,Sairiades,Sairían
Volvería,Volverías,Volvería,Volveriamos,Volveriades,Volverían
Contaría,Contarías,Contaría,Contariamos,Contariades,Contarían
Atoparía,Atoparías,Atoparía,Atopariamos,Atopariades,Atoparían
Coñecería,Coñecerías,Coñecería,Coñeceriamos,Coñeceriades,Coñecerían
Sentiría,Sentirías,Sentiría,Sentiriamos,Sentiriades,Sentirían
Chamaría,Chamarías,Chamaría,Chamariamos,Chamariades,Chamarían
Miraría,Mirarías,Miraría,Mirariamos,Mirariades,Mirarían
Viviría,Vivirías,Viviría,Viviriamos,Viviriades,Vivirían
Presentaría,Presentarías,Presentaría,Presentariamos,Presentariades,Presentarían
Trataría,Tratarías,Trataría,Tratariamos,Tratariades,Tratarían
Entraría,Entrarías,Entraría,Entrariamos,Entrariades,Entrarían
Crería,Crerías,Crería,Creriamos,Creriades,Crerían
Comezaría,Comezarías,Comezaría,Comezariamos,Comezariades,Comezarían
Abriría,Abrirías,Abriría,Abririamos,Abririades,Abrirían
Acabaría,Acabarías,Acabaría,Acabariamos,Acabariades,Acabarían
Realizaría,Realizarías,Realizaría,Realizariamos,Realizariades,Realizarían
Tomaría,Tomarías,Tomaría,Tomariamos,Tomariades,Tomarían
Permitiría,Permitirías,Permitiría,Permitiriamos,Permitiriades,Permitirían
Perdería,Perderías,Perdería,Perderiamos,Perderiades,Perderían
Explicaría,Explicarías,Explicaría,Explicariamos,Explicariades,Explicarían
Mantería,Manterías,Mantería,Manteriamos,Manteriades,Manterían
Botaría,Botarías,Botaría,Botariamos,Botariades,Botarían
Consideraría,Considerarías,Consideraría,Considerariamos,Considerariades,Considerarían
Pediría,Pedirías,Pediría,Pediriamos,Pediriades,Pedirían
Existiría,Existirías,Existiría,Existiriamos,Existiriades,Existirían
Traballaría,Traballarías,Traballaría,Traballariamos,Traballariades,Traballarían
Entendería,Entenderías,Entendería,Entenderiamos,Entenderiades,Entenderían
Produciría,Producirías,Produciría,Produciriamos,Produciriades,Producirían
Preguntaría,Preguntarías,Preguntaría,Preguntariamos,Preguntariades,Preguntarían
Aparecería,Aparecerías,Aparecería,Apareceriamos,Apareceriades,Aparecerían
Buscaría,Buscarías,Buscaría,Buscariamos,Buscariades,Buscarían
Andaría,Andarías,Andaría,Andariamos,Andariades,Andarían
Conseguiría,Conseguirías,Conseguiría,Conseguiriamos,Conseguiriades,Conseguirían
Escoitaría,Escoitarías,Escoitaría,Escoitariamos,Escoitariades,Escoitarían
Lembraría,Lembrarías,Lembraría,Lembrariamos,Lembrariades,Lembrarían
Cumpriría,Cumprirías,Cumpriría,Cumpririamos,Cumpririades,Cumprirían
Achegaría,Achegarías,Achegaría,Achegariamos,Achegariades,Achegarían
Collería,Collerías,Collería,Colleriamos,Colleriades,Collerían
Resultaría,Resultarías,Resultaría,Resultariamos,Resultariades,Resultarían
Escribiría,Escribirías,Escribiría,Escribiriamos,Escribiriades,Escribirían
Recibiría,Recibirías,Recibiría,Recibiriamos,Recibiriades,Recibirían
Sinalaría,Sinalarías,Sinalaría,Sinalariamos,Sinalariades,Sinalarían
Caería,Caerías,Caería,Caeriamos,Caeriades,Caerían
Convertería,Converterías,Convertería,Converteriamos,Converteriades,Converterían
Aseguraría,Asegurarías,Aseguraría,Asegurariamos,Asegurariades,Asegurarían
Morrería,Morrerías,Morrería,Morreriamos,Morreriades,Morrerían
Formaría,Formarías,Formaría,Formariamos,Formariades,Formarían
Decidiría,Decidirías,Decidiría,Decidiriamos,Decidiriades,Decidirían
Supoñería,Supoñerías,Supoñería,Supoñeriamos,Supoñeriades,Supoñerían
Remataría,Rematarías,Remataría,Rematariamos,Rematariades,Rematarían
Gustaría,Gustarías,Gustaría,Gustariamos,Gustariades,Gustarían
Ofrecería,Ofrecerías,Ofrecería,Ofreceriamos,Ofreceriades,Ofrecerían
Lería,Lerías,Lería,Leriamos,Leriades,Lerían
Metería,Meterías,Metería,Meteriamos,Meteriades,Meterían
Dirixiría,Dirixirías,Dirixiría,Dirixiriamos,Dirixiriades,Dirixirían
Crearía,Crearías,Crearía,Creariamos,Creariades,Crearían
Agardaría,Agardarías,Agardaría,Agardariamos,Agardariades,Agardarían
Serviría,Servirías,Serviría,Serviriamos,Serviriades,Servirían
Afirmaría,Afirmarías,Afirmaría,Afirmariamos,Afirmariades,Afirmarían
Recollería,Recollerías,Recollería,Recolleriamos,Recolleriades,Recollerían
Recoñecería,Recoñecerías,Recoñecería,Recoñeceriamos,Recoñeceriades,Recoñecerían
Esperaría,Esperarías,Esperaría,Esperariamos,Esperariades,Esperarían
Situaría,Situarías,Situaría,Situariamos,Situariades,Situarían
Empezaría,Empezarías,Empezaría,Empezariamos,Empezariades,Empezarían
Sentaría,Sentarías,Sentaría,Sentariamos,Sentariades,Sentarían
Nacería,Nacerías,Nacería,Naceriamos,Naceriades,Nacerían
Indicaría,Indicarías,Indicaría,Indicariamos,Indicariades,Indicarían
Utilizaría,Utilizarías,Utilizaría,Utilizariamos,Utilizariades,Utilizarían
Marcharía,Marcharías,Marcharía,Marchariamos,Marchariades,Marcharían
Celebraría,Celebrarías,Celebraría,Celebrariamos,Celebrariades,Celebrarían
Incluiría,Incluirías,Incluiría,Incluiriamos,Incluiriades,Incluirían
Desenvolvería,Desenvolverías,Desenvolvería,Desenvolveriamos,Desenvolveriades,Desenvolverían
Pagaría,Pagarías,Pagaría,Pagariamos,Pagariades,Pagarían
Baixaría,Baixarías,Baixaría,Baixariamos,Baixariades,Baixarían
Dispoñería,Dispoñerías,Dispoñería,Dispoñeriamos,Dispoñeriades,Dispoñerían
Traería,Traerías,Traería,Traeriamos,Traeriades,Traerían
Respondería,Responderías,Respondería,Responderiamos,Responderiades,Responderían
Participaría,Participarías,Participaría,Participariamos,Participariades,Participarían
Sacaría,Sacarías,Sacaría,Sacariamos,Sacariades,Sacarían
Continuaría,Continuarías,Continuaría,Continuariamos,Continuariades,Continuarían
Engadiría,Engadirías,Engadiría,Engadiriamos,Engadiriades,Engadirían
Publicaría,Publicarías,Publicaría,Publicariamos,Publicariades,Publicarían
Xogaría,Xogarías,Xogaría,Xogariamos,Xogariades,Xogarían
Cambiaría,Cambiarías,Cambiaría,Cambiariamos,Cambiariades,Cambiarían
Evitaría,Evitarías,Evitaría,Evitariamos,Evitariades,Evitarían
Axudaría,Axudarías,Axudaría,Axudariamos,Axudariades,Axudarían
Amosaría,Amosarías,Amosaría,Amosariamos,Amosariades,Amosarían
Esquecería,Esquecerías,Esquecería,Esqueceriamos,Esqueceriades,Esquecerían
Comería,Comerías,Comería,Comeriamos,Comeriades,Comerían
Tiraría,Tirarías,Tiraría,Tirariamos,Tirariades,Tirarían
Subiría,Subirías,Subiría,Subiriamos,Subiriades,Subirían
Gañaría,Gañarías,Gañaría,Gañariamos,Gañariades,Gañarían
Destacaría,Destacarías,Destacaría,Destacariamos,Destacariades,Destacarían
Tocaría,Tocarías,Tocaría,Tocariamos,Tocariades,Tocarían
Movería,Moverías,Movería,Moveriamos,Moveriades,Moverían
Pretendería,Pretenderías,Pretendería,Pretenderiamos,Pretenderiades,Pretenderían
Correría,Correrías,Correría,Correriamos,Correriades,Correrían
Ficaría,Ficarías,Ficaría,Ficariamos,Ficariades,Ficarían
Representaría,Representarías,Representaría,Representariamos,Representariades,Representarían
