Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Son,Es,É,Somos,Sodes,Son
Teño,Tes,Ten,Temos,Tendes/tedes,Teñen
Estou,Estás,Está,Estamos,Estades,Están
Fago,Fas,Fai,Facemos,Facedes,Fan
Podo,Podes,Pode,Podemos,Podedes,Poden
Hei,Has,"Ha, hai",Habemos,Habedes,Han
Vou,Vas,Vai,Imos,Ides,Van
Digo,Dis,Di,Dicimos,Dicides,Din
Dou,Dás,Dá,Damos,Dades,Dan
Vexo,Ves,Ve,Vemos,Vedes,Ven
Sei,Sabes,Sabe,Sabemos,Sabedes,Saben
Quero,Queres,Quere,Queremos,Queredes,Queren
Chego,Chegas,Chega,Chegamos,Chegades,Chegan
Levo,Levas,Leva,Levamos,Levades,Levan
Paso,Pasas,Pasa,Pasamos,Pasades,Pasan
Debo,Debes,Debe,Debemos,Debedes,Deben
Deixo,Deixas,Deixa,Deixamos,Deixades,Deixan
Falo,Falas,Fala,Falamos,Falades,Falan
Sigo,Segues,Segue,Seguimos,Seguides,Seguen
Veño,Vés,Vén,Vimos,Vindes/Vides,Veñen
Penso,Pensas,Pensa,Pensamos,Pensades,Pensan
Poño,Pos,Pon,Poñemos,Poñedes,Poñen
Quedo,Quedas,Queda,Quedamos,Quedades,Quedan
Parezo,Pareces,Parece,Parecemos,Parecedes,Parecen
Saio,Saes,Sae,Saímos,Saídes,Saen
Volvo,Volves,Volve,Volvemos,Volvedes,Volven
Conto,Contas,Conta,Contamos,Contades,Contan
Atopo,Atopas,Atopa,Atopamos,Atopades,Atopan
Coñezo,Coñeces,Coñece,Coñecemos,Coñecedes,Coñecen
Sinto,Sentes,Sente,Sentimos,Sentides,Senten
Chamo,Chamas,Chama,Chamamos,Chamades,Chaman
Miro,Miras,Mira,Miramos,Mirades,Miran
Vivo,Vives,Vive,Vivimos,Vivides,Viven
Presento,Presentas,Presenta,Presentamos,Presentades,Presentan
Trato,Tratas,Trata,Tratamos,Tratades,Tratan
Entro,Entras,Entra,Entramos,Entrades,Entran
Creo,Cres,Cre,Cremos,Credes,Cren
Comezo,Comezas,Comeza,Comezamos,Comezades,Comezan
Abro,Abres,Abre,Abrimos,Abrides,Abren
Acabo,Acabas,Acaba,Acabamos,Acabades,Acaban
Realizo,Realizas,Realiza,Realizamos,Realizades,Realizan
Tomo,Tomas,Toma,Tomamos,Tomades,Toman
