Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Fun,Fuches,Foi,Fomos,Fostes,Foron
Tiven,Tiveches,Tivo,Tivemos,Tivestes,Tiveron
Estiven,Estiveches,Estivo,Estivemos,Estivestes,Estiveron
Fixen,Fixeches,Fixo,Fixemos,Fixestes,Fixeron
Puiden,Puideches,Puido,Puidemos,Puidestes,Puideron
Houben,Houbeches,Houbo,Houbemos,Houbestes,Houberon
fun,fuches,foi,fomos,fostes,foron
Dixen,Dixeches,Dixo,Dixemos,Dixestes,Dixeron
Dei,Deches,Deu,Demos,Destes,Deron
Vin,Viches,Viu,Vimos,Vistes,Viron
Souben,Soubeches,Soubo,Soubemos,Soubestes,Souberon
Quixen,Quixeches,Quixo,Quixemos,Quixestes,Quixeron
Cheguei,Chegaches,Chegou,Chegamos,Chegastes,Chegaron
Levei,Levaches,Levou,Levamos,Levastes,Levaron
Pasei,Pasaches,Pasou,Pasamos,Pasastes,Pasaron
Debín,Debiches,Debeu,Debemos,Debestes,Deberon
Deixei,Deixaches,Deixou,Deixamos,Deixastes,Deixaron
Falei,Falaches,Falou,Falamos,Falastes,Falaron
Seguín,Seguiches,Seguiu,Seguimos,Seguistes,Seguiron
Vin,Viñeches,Veu,Viñemos,Viñestes,Viñeron
Pensei,Pensaches,Pensou,Pensamos,Pensastes,Pensaron
Puxen,Puxeches,Puxo,Puxemos,Puxestes,Puxeron
Quedei,Quedaches,Quedou,Quedamos,Quedastes,Quedaron
Parecín,Pareciches,Pareceu,Parecemos,Parecestes,Pareceron
Saín,Saíches,Saíu,Saímos,Saístes,Saíron
Volvín,Volviches,Volveu,Volvemos,Volvestes,Volveron
Contei,Contaches,Contou,Contamos,Contastes,Contaron
Atopei,Atopaches,Atopou,Atopamos,Atopastes,Atoparon
Coñecín,Coñeciches,Coñeceu,Coñecemos,Coñecestes,Coñeceron
Sentín,Sentiches,Sentiu,Sentimos,Sentistes,Sentiron
Chamei,Chamaches,Chamou,Chamamos,Chamastes,Chamaron
Mirei,Miraches,Mirou,Miramos,Mirastes,Miraron
Vivín,Viviches,Viviu,Vivimos,Vivistes,Viviron
Presentei,Presentaches,Presentou,Presentamos,Presentastes,Presentaron
Tratei,Trataches,Tratou,Tratamos,Tratastes,Trataron
Entrei,Entraches,Entrou,Entramos,Entrastes,Entraron
Crín,Criches,Creu,Cremos,Crestes,Creron
Comecei,Comezaches,Comezou,Comezamos,Comezastes,Comezaron
Abrín,Abriches,Abriu,Abrimos,Abristes,Abriron
Acabei,Acabaches,Acabou,Acabamos,Acabastes,Acabaron
Realicei,Realizaches,Realizou,Realizamos,Realizastes,Realizaron
Tomei,Tomaches,Tomou,Tomamos,Tomastes,Tomaron
Permitín,Permitiches,Permitiu,Permitimos,Permitistes,Permitiron
Perdín,Perdiches,Perdeu,Perdemos,Perdestes,Perderon
Expliquei,Explicaches,Explicou,Explicamos,Explicastes,Explicaron
Mantín,Mantiches,Manteu,Mantemos,Mantestes,Manteron
Botei,Botaches,Botou,Botamos,Botastes,Botaron
Considerei,Consideraches,Considerou,Consideramos,Considerastes,Consideraron
Pedín,Pediches,Pediu,Pedimos,Pedistes,Pediron
Existín,Existiches,Existiu,Existimos,Exististes,Existiron
Traballei,Traballaches,Traballou,Traballamos,Traballastes,Traballaron
Entendín,Entendiches,Entendeu,Entendemos,Entendestes,Entenderon
Producín,Produciches,Produciu,Producimos,Producistes,Produciron
Preguntei,Preguntaches,Preguntou,Preguntamos,Preguntastes,Preguntaron
Aparecín,Apareciches,Apareceu,Aparecemos,Aparecestes,Apareceron
Busquei,Buscaches,Buscou,Buscamos,Buscastes,Buscaron
Andei,Andaches,Andou,Andamos,Andastes,Andaron
Conseguín,Conseguiches,Conseguiu,Conseguimos,Conseguistes,Conseguiron
Escoitei,Escoitaches,Escoitou,Escoitamos,Escoitastes,Escoitaron
Lembrei,Lembraches,Lembrou,Lembramos,Lembrastes,Lembraron
Cumprín,Cumpriches,Cumpriu,Cumprimos,Cumpristes,Cumpriron
Acheguei,Achegaches,Achegou,Achegamos,Achegastes,Achegaron
Collín,Colliches,Colleu,Collemos,Collestes,Colleron
Resultei,Resultaches,Resultou,Resultamos,Resultastes,Resultaron
Escribín,Escribiches,Escribiu,Escribimos,Escribistes,Escribiron
Recibín,Recibiches,Recibiu,Recibimos,Recibistes,Recibiron
Sinalei,Sinalaches,Sinalou,Sinalamos,Sinalastes,Sinalaron
Caín,Caíches,Caeu,Caemos,Caestes,Caeron
Convertín,Convertiches,Converteu,Convertemos,Convertestes,Converteron
Asegurei,Aseguraches,Asegurou,Aseguramos,Asegurastes,Aseguraron
Morrín,Morriches,Morreu,Morremos,Morrestes,Morreron
Formei,Formaches,Formou,Formamos,Formastes,Formaron
Decidín,Decidiches,Decidiu,Decidimos,Decidistes,Decidiron
Supuxen,Supuxeches,Supuxo,Supuxemos,Supuxestes,Supuxeron
Rematei,Remataches,Rematou,Rematamos,Rematastes,Remataron
Gustei,Gustaches,Gustou,Gustamos,Gustastes,Gustaron
Ofrecín,Ofreciches,Ofreceu,Ofrecemos,Ofrecestes,Ofreceron
Lín,Liches,Leu,Lemos,Lestes,Leron
Metín,Metiches,Meteu,Metemos,Metestes,Meteron
Dirixín,Dirixiches,Dirixiu,Diriximos,Dirixistes,Dirixiron
