Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Fose,Foses,Fose,Fósemos,Fósedes,Fosen
Tivese,Tiveses,Tivese,Tivésemos,Tivésedes,Tivesen
Estivese,Estiveses,Estivese,Estivésemos,Estivésedes,Estivesen
Fixese,Fixeses,Fixese,Fixésemos,Fixésedes,Fixesen
Puidese,Puideses,Puidese,Puidésemos,Puidésedes,Puidesen
Houbese,Houbeses,Houbese,Houbésemos,Houbésedes,Houbesen
Fose,Foses,Fose,Fósemos,Fósedes,Fosen
Dixese,Dixeses,Dixese,Dixésemos,Dixésedes,Dixesen
Dese,Deses,Dese,Désemos,Désedes,Desen
Vise,Vises,Vise,Vísemos,Vísedes,Visen
Soubese,Soubeses,Soubese,Soubésemos,Soubésedes,Soubesen
Quixese,Quixeses,Quixese,Quixésemos,Quixésedes,Quixesen
Chegase,Chegases,Chegase,Chegásemos,Chegásedes,Chegasen
Levase,Levases,Levase,Levásemos,Levásedes,Levasen
Pasase,Pasases,Pasase,Pasásemos,Pasásedes,Pasasen
Debese,Debeses,Debese,Debésemos,Debésedes,Debesen
Deixase,Deixases,Deixase,Deixásemos,Deixásedes,Deixasen
Falase,Falases,Falase,Falásemos,Falásedes,Falasen
Seguise,Seguises,Seguise,Seguísemos,Seguísedes,Seguisen
Viñese,Viñeses,Viñese,Viñésemos,Viñésedes,Viñesen
Pensase,Pensases,Pensase,Pensásemos,Pensásedes,Pensasen
Puxese,Puxeses,Puxese,Puxésemos,Puxésedes,Puxesen
Quedase,Quedases,Quedase,Quedásemos,Quedásedes,Quedasen
Parecese,Pareceses,Parecese,Parecésemos,Parecésedes,Parecesen
Saíse,Saíses,Saíse,Saísemos,Saísedes,Saísen
Volvese,Volveses,Volvese,Volvésemos,Volvésedes,Volvesen
Contase,Contases,Contase,Contásemos,Contásedes,Contasen
Atopase,Atopases,Atopase,Atopásemos,Atopásedes,Atopasen
Coñecese,Coñeceses,Coñecese,Coñecésemos,Coñecésedes,Coñecesen
Sentise,Sentises,Sentise,Sentísemos,Sentísedes,Sentisen
Chamase,Chamases,Chamase,Chamásemos,Chamásedes,Chamasen
Mirase,Mirases,Mirase,Mirásemos,Mirásedes,Mirasen
Vivise,Vivises,Vivise,Vivísemos,Vivísedes,Vivisen
Presentase,Presentases,Presentase,Presentásemos,Presentásedes,Presentasen
